,Team,Game,Date,HC,Opponent,WINorLOSE,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OREB,TRB,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_FG_PCT,OPP_FG3,OPP_FG3A,OPP_FG3_PCT,OPP_FT,OPP_FTA,OPP_FT_PCT,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF
177,OKC,41,13/01/2022,Away,BRK,W,130,109,47,91,0.516,20,45,0.444,16,18,0.889,9,38,32,8,7,10,19,41,98,0.418,7,32,0.219,20,22,0.909,21,50,16,7,11,12,19
178,OKC,42,15/01/2022,Home,CLE,L,102,107,36,83,0.434,10,27,0.37,20,22,0.909,14,51,17,4,5,15,21,40,87,0.46,9,35,0.257,18,25,0.72,11,37,28,6,4,7,13
179,OKC,43,17/01/2022,Away,DAL,L,102,104,36,83,0.434,11,35,0.314,19,24,0.792,5,42,20,10,2,13,23,35,88,0.398,12,37,0.324,22,28,0.786,11,47,28,10,7,11,19
180,OKC,44,19/01/2022,Away,SAS,L,96,118,38,98,0.388,8,31,0.258,12,15,0.8,14,46,20,5,2,14,14,47,96,0.49,15,40,0.375,9,14,0.643,11,50,32,9,13,9,17
181,PHI,1,20/10/2021,Away,NOP,W,117,97,44,85,0.518,13,25,0.52,16,20,0.8,6,47,24,9,5,12,11,39,93,0.419,13,30,0.433,6,9,0.667,10,44,28,5,6,13,16
182,PHI,2,22/10/2021,Home,BRK,L,109,114,43,91,0.473,14,36,0.389,9,11,0.818,5,35,17,8,9,8,21,41,88,0.466,12,38,0.316,20,24,0.833,11,47,26,6,6,12,16
183,PHI,3,24/10/2021,Away,OKC,W,115,103,41,88,0.466,17,41,0.415,16,20,0.8,12,47,25,4,9,12,17,40,84,0.476,8,31,0.258,15,19,0.789,6,42,24,9,4,11,17
184,PHI,4,26/10/2021,Away,NYK,L,99,112,36,82,0.439,12,41,0.293,15,17,0.882,12,40,24,9,4,14,14,41,87,0.471,16,37,0.432,14,15,0.933,13,45,24,7,5,12,18
185,PHI,5,28/10/2021,Home,DET,W,110,102,38,76,0.5,12,27,0.444,22,24,0.917,6,46,22,7,9,20,23,35,86,0.407,13,39,0.333,19,27,0.704,10,37,22,11,4,12,22
186,PHI,6,30/10/2021,Home,ATL,W,122,94,46,86,0.535,12,38,0.316,18,19,0.947,5,37,24,11,6,12,24,36,95,0.379,8,22,0.364,14,19,0.737,20,49,24,6,1,19,17
