Team,Game,Date,HC,Opponent,WINorLOSE,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OREB,TRB,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_FG_PCT,OPP_FG3,OPP_FG3A,OPP_FG3_PCT,OPP_FT,OPP_FTA,OPP_FT_PCT,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF
NOP,16,2021-11-17,Away,MIA,L,98,113,33,75,.440,10,35,.286,22,28,.786,10,38,18,6,3,16,21,42,87,.483,15,40,.375,14,17,.824,10,39,29,6,2,10,25
NOP,17,2021-11-19,Home,LAC,W,94,81,38,87,.437,13,30,.433,5,8,.625,12,55,19,9,1,13,12,34,90,.378,9,37,.243,4,5,.800,8,43,22,7,4,11,12
NOP,18,2021-11-20,Away,IND,L,94,111,35,88,.398,6,18,.333,18,19,.947,11,52,17,7,5,16,14,42,91,.462,14,38,.368,13,18,.722,8,46,28,11,9,10,16
NOP,19,2021-11-22,Home,MIN,L,96,110,37,88,.420,6,32,.188,16,18,.889,15,48,24,6,6,21,23,40,100,.400,10,44,.227,20,28,.714,21,49,21,14,9,11,20
NOP,20,2021-11-24,Home,WAS,W,127,102,44,96,.458,12,29,.414,27,32,.844,12,52,33,13,2,10,26,36,84,.429,7,31,.226,23,36,.639,13,45,23,5,3,19,23
NOP,21,2021-11-26,Away,UTA,W,98,97,38,89,.427,11,27,.407,11,13,.846,6,39,27,8,4,13,21,36,80,.450,13,33,.394,12,18,.667,9,43,17,6,8,17,22
NOP,22,2021-11-27,Away,UTA,L,105,127,40,93,.430,8,35,.229,17,21,.810,14,45,27,8,3,13,20,45,80,.563,20,35,.571,17,22,.773,7,41,24,9,4,18,25
NOP,23,2021-11-29,Away,LAC,W,123,104,48,94,.511,14,35,.400,13,16,.813,14,47,30,11,1,7,21,37,72,.514,14,36,.389,16,21,.762,4,35,17,2,2,15,16
NOP,24,2021-12-01,Home,DAL,L,107,139,40,89,.449,13,37,.351,14,16,.875,16,32,22,10,1,13,12,57,83,.687,18,34,.529,7,9,.778,9,34,32,7,2,18,19
NOP,25,2021-12-03,Away,DAL,W,107,91,37,90,.411,12,30,.400,21,28,.750,13,55,30,5,5,10,26,32,79,.405,10,34,.294,17,26,.654,5,42,17,4,3,15,23
